,Name
0,Dwyane Wade
1,LeBron James
2,Allen Iverson
3,Shaquille O'Neal
4,Vince Carter
5,Ben Wallace
6,Rasheed Wallace
7,Chris Bosh
8,Chauncey Billups
9,Paul Pierce
10,Richard Hamilton
11,Gilbert Arenas
12,Steve Nash
13,Tracy McGrady
14,Kobe Bryant
15,Tim Duncan
16,Yao Ming
17,Tony Parker
18,Ray Allen
19,Shawn Marion
20,Elton Brand
21,Kevin Garnett
22,Dirk Nowitzki
23,Pau Gasol
24,Carmelo Anthony
25,Amar'e Stoudemire
26,Josh Howard
27,Mehmet Okur
28,Jermaine O'Neal
29,Dwight Howard
30,Joe Johnson
31,Caron Butler
32,Jason Kidd
33,Antawn Jamison
34,Brandon Roy
35,Chris Paul
36,Carlos Boozer
37,David West
38,Rashard Lewis
39,Devin Harris
40,Mo Williams
41,Danny Granger
42,Rajon Rondo
43,Gerald Wallace
44,Derrick Rose
45,Al Horford
46,David Lee
47,Deron Williams
48,Kevin Durant
49,Zach Randolph
50,Chris Kaman
51,Manu Ginóbili
52,Blake Griffin
53,Russell Westbrook
54,Kevin Love
55,Andrew Bynum
56,Marc Gasol
57,LaMarcus Aldridge
58,Andre Iguodala
59,Roy Hibbert
60,Luol Deng
61,James Harden
62,Kyrie Irving
63,Paul George
64,Tyson Chandler
65,Joakim Noah
66,Jrue Holiday
67,Brook Lopez
68,John Wall
69,DeMar DeRozan
70,Paul Millsap
71,Stephen Curry
72,Anthony Davis
73,Damian Lillard
74,Klay Thompson
75,DeMarcus Cousins
76,Kyle Lowry
77,Kyle Korver
78,Jeff Teague
79,Jimmy Butler
80,Kawhi Leonard
81,Draymond Green
82,Isaiah Thomas
83,Andre Drummond
84,Gordon Hayward
85,DeAndre Jordan
86,Giannis Antetokounmpo
87,Kemba Walker
88,Bradley Beal
89,Victor Oladipo
90,Goran Dragić
91,Joel Embiid
92,Karl-Anthony Towns
